model,n,accuracy_mean,f1_mean,precision_mean,recall_mean,roc_auc_mean,roc_auc_std
"RF-Behavioral (24 feats, paper-1 style)",2028,0.6213099799306696,0.5811381644733601,0.6028137802082159,0.5621832358674463,0.6650413714326969,0.014816681996858679
"RF-Behavioral (44 feats, extended)",2028,0.6725938089156479,0.6426378168972168,0.6563530779673623,0.6297521581732108,0.7316556695236032,0.018268354920375582
"RF-Behavioral+Botometer (45 feats, subset)",1320,0.6704545454545455,0.6421815961099044,0.6715565801365386,0.6160979877515311,0.7304367737910894,0.04749852860480447
"RF-Behavioral (extended, SAME subset as above)",1320,0.6606060606060605,0.6354521574202423,0.6553863779987277,0.6176477940257469,0.720542321067901,0.045623700082850445
