model,n,accuracy_mean,f1_mean,precision_mean,recall_mean,roc_auc_mean,roc_auc_std
"RF-Behavioral (44 feats, text subset)",1620,0.6771604938271605,0.6368675044315585,0.6675937713116173,0.6095805739514348,0.7402929319196263,0.024092627445693213
RF-Linguistic (19 feats),1620,0.5944444444444444,0.5332412969167747,0.5720156891002783,0.5005739514348786,0.6146516179060363,0.033771155997632266
RF-Fusion (63 feats),1620,0.6820987654320988,0.6457537047074606,0.6705301114213882,0.622887417218543,0.738663064785029,0.031177568407054598
