feature,importance
retweet_ratio,0.10252646677933636
listed_per_follower,0.043045136966638545
friends_to_followers,0.04112146829820791
name_entropy,0.0383350473571816
favourites_per_day,0.03710629778055803
log_media_count,0.036297091137525585
friends_per_day,0.03546416329716355
screen_name_digit_ratio,0.034855949624167035
log_friends,0.03432233104733271
statuses_per_day,0.03253617847705756
log_tweet_frequency,0.0320551417620362
log_followers,0.030901479394263333
screen_name_entropy,0.030549015442070455
followers_per_day,0.029489830601154298
account_age_days,0.028705012544121288
name_len,0.026884997551269888
log_statuses,0.02610440136250473
statuses_to_favourites,0.024209801062516204
mean_no_words,0.021519386526974337
log_mean_favourites_per_tweet,0.020069837871172894
log_time_between_tweets,0.01986398715237263
screen_name_len,0.0193194646664341
mean_user_mentions_per_tweet,0.019278741586790393
log_max_tweets_per_day,0.019164335448324018
prop_plain_retweet,0.01885220527515538
mean_no_hashtags,0.018743321236244507
prop_reply,0.0177268390091433
log_retweet_as_tweet_rate,0.017676373810185858
log_mean_retweets_per_tweet,0.01699537465701315
log_max_tweets_per_hour,0.016520664774618846
log_max_occurence_of_same_gap,0.016291014142553205
prop_original_tweet,0.014752892420425823
mean_no_media_per_tweet,0.014301029861399292
prop_retweet_with_comment,0.014289485558132604
unique_mention_rate_per_tweet,0.01386803606450231
no_languages,0.01180622117467719
screen_name_has_trailing_digits,0.005560584790109362
has_location,0.005141340486821183
name_digit_ratio,0.004117166118997641
has_url,0.003200964348174994
has_description,0.002993445562640141
tweeted_on_creation_day_or_week,0.0018458384747123465
default_profile,0.0015916384973193333
verified,0.0
default_profile_image,0.0
