model,n,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,roc_auc_mean,roc_auc_std
"RF-Behavioral (paper, 24 feats)",1045,0.8248803827751197,0.010306535516046902,0.13027378418682767,0.06297509643184208,0.6828571428571429,0.30618121884843,0.0748221906116643,0.03942694553326122,0.7041185955007381,0.03974296719701994
"RF-Behavioral (extended, 45 feats)",1045,0.8334928229665071,0.01225478322953654,0.2667164764035853,0.06663935427627515,0.6448412698412699,0.153618076668945,0.17155049786628734,0.04765058060984672,0.7624669989837806,0.03296369772963358
LogReg-Behavioral,1045,0.8267942583732057,0.02148320030683604,0.32313233622361415,0.06527032817052277,0.5599016772700983,0.1518864945035918,0.23029871977240396,0.045032964864658624,0.7317346013152236,0.04143886398727291
GB-Behavioral,1045,0.8200956937799043,0.02276627225525423,0.3741019574505324,0.06211938066573757,0.5088348927058604,0.11641845109641076,0.29971550497866295,0.05046399601397832,0.7577607692082987,0.03957384380127283
RF-Content (text subset),1042,0.815738624443782,0.007063468205701,0.1569050667642217,0.0308003493809118,0.45315904139433555,0.09155512587995947,0.09609148318825737,0.021844397916839918,0.6483951815021425,0.05233168940823007
RF-Fusion (text subset),1042,0.8301395651837865,0.004501380144209847,0.2195991445412019,0.016033619056757164,0.6467592592592593,0.09390048507539081,0.1336405529953917,0.014693645522049919,0.7687538739321421,0.007093917909293926
