feature,nonbot_mean,nonbot_std,bot_mean,bot_std,cohen_d
account_age_days,2360.2539047796336,1532.8559994756927,1864.1687824940582,1208.167757399946,-0.35945758472608996
statuses_per_day,22.054422341502132,26.45871174562729,47.25050942574846,58.70971321808235,0.5533330857978719
followers_per_day,12.898575997215907,36.58581227301673,7.210046829207571,10.049159589890419,-0.21203524486773193
friends_per_day,1.8639881200522077,3.951698865295648,2.8364838695154937,3.760412407425643,0.25212207384582075
friends_to_followers,0.45808444858366115,3.2574520440162336,0.5623724625038014,0.4318499435284985,0.04488363538365483
log_followers,9.160048267923635,1.229952878780954,8.805217425943315,0.7932993461006096,-0.34285910290773575
log_friends,6.845768727515226,1.7446207626601906,7.537487388004837,1.570515856241138,0.4167349789663257
screen_name_digit_ratio,0.09241498271218551,0.1634416272296493,0.19204295407503963,0.22340201193313203,0.5090033111385116
screen_name_entropy,2.978770998485026,0.3697768991260911,2.985689577555075,0.4130891930311703,0.01764801129611455
has_description,0.951048951048951,0.2158915625860922,0.9358288770053476,0.24571539752524704,-0.06580666231933714
default_profile,0.8426573426573427,0.36433590944486466,0.946524064171123,0.22558455298808594,0.34278415058369033
