config,threshold,accuracy,f1,precision,recall,roc_auc
"Baseline (unweighted, thr=0.5)",0.5,0.8325358851674641,0.27385892116182575,0.6111111111111112,0.17647058823529413,0.759448661855079
class_weight='balanced' (thr=0.5),0.5,0.8287081339712918,0.17511520737327188,0.6333333333333333,0.10160427807486631,0.7503085150143974
"Threshold tuning (unweighted, thr=0.223)",0.22333333333333333,0.7311004784688995,0.4627151051625239,0.3601190476190476,0.6470588235294118,0.759448661855079
SMOTE oversampling (thr=0.5),0.5,0.8076555023923445,0.3963963963963964,0.4520547945205479,0.35294117647058826,0.7416669782979943
class_weight='balanced' + tuned thr (0.207)  <-- BEST F1,0.20666666666666667,0.7444976076555024,0.4691848906560636,0.37341772151898733,0.6310160427807486,0.7503085150143974
