severity,model,accuracy,f1,precision,recall,roc_auc
0.0,RF-Content,0.8210862619808307,0.125,0.5,0.07142857142857142,0.5959560867148416
0.0,RF-Behavioral,0.8274760383386581,0.22857142857142856,0.5714285714285714,0.14285714285714285,0.6857281823235131
0.0,RF-Fusion,0.8370607028753994,0.23880597014925373,0.7272727272727273,0.14285714285714285,0.703133685380767
0.25,RF-Content,0.8242811501597445,0.12698412698412698,0.5714285714285714,0.07142857142857142,0.593941078376876
0.25,RF-Behavioral,0.8274760383386581,0.22857142857142856,0.5714285714285714,0.14285714285714285,0.6857281823235131
0.25,RF-Fusion,0.8370607028753994,0.23880597014925373,0.7272727272727273,0.14285714285714285,0.7039327404113397
0.5,RF-Content,0.8242811501597445,0.09836065573770492,0.6,0.05357142857142857,0.5827890494719289
0.5,RF-Behavioral,0.8274760383386581,0.22857142857142856,0.5714285714285714,0.14285714285714285,0.6857281823235131
0.5,RF-Fusion,0.8402555910543131,0.24242424242424243,0.8,0.14285714285714285,0.6955600333518621
0.75,RF-Content,0.8178913738019169,0.06557377049180328,0.4,0.03571428571428571,0.550062534741523
0.75,RF-Behavioral,0.8274760383386581,0.22857142857142856,0.5714285714285714,0.14285714285714285,0.6857281823235131
0.75,RF-Fusion,0.8402555910543131,0.24242424242424243,0.8,0.14285714285714285,0.6941008893829905
1.0,RF-Content,0.8178913738019169,0.03389830508474576,0.3333333333333333,0.017857142857142856,0.5651403557531962
1.0,RF-Behavioral,0.8274760383386581,0.22857142857142856,0.5714285714285714,0.14285714285714285,0.6857281823235131
1.0,RF-Fusion,0.8370607028753994,0.19047619047619047,0.8571428571428571,0.10714285714285714,0.690209838799333
