model,n,accuracy_mean,f1_mean,precision_mean,recall_mean,roc_auc_mean,roc_auc_std
"RF-Behavioral (45 feats, text subset)",1042,0.8330051527419948,0.2753422846456929,0.6164102564102565,0.18122332859174967,0.7548767604169268,0.02278497724536521
RF-Linguistic (19 feats: 17 Persian-LFC + 2 coordination),1042,0.8186142804563857,0.09194707402801314,0.38888888888888884,0.0534850640113798,0.6615615615615617,0.038970187005863466
RF-Fusion (45+19=64 feats),1042,0.8320528156054472,0.2519258892737369,0.615,0.16002844950213374,0.7631192133962218,0.013664765859205674
