feature,mean_abs_shap
retweet_ratio,0.04845274404487189
listed_per_follower,0.019179615987211476
screen_name_digit_ratio,0.01703399693772058
friends_to_followers,0.013876905974840295
statuses_per_day,0.012227406306641975
favourites_per_day,0.011859137818288085
log_tweet_frequency,0.010634775297315468
friends_per_day,0.010277147864383286
name_entropy,0.009983433475499744
log_friends,0.009478110531007581
log_media_count,0.008961271378181031
name_len,0.008220501501715702
log_max_tweets_per_hour,0.008063014472796743
mean_no_words,0.008004369473335772
log_max_tweets_per_day,0.007780641517022626
log_followers,0.007408347973075345
log_statuses,0.006863781726189766
screen_name_entropy,0.0068349190188429325
statuses_to_favourites,0.006646924031959328
followers_per_day,0.006629230142214475
account_age_days,0.006465979514204624
log_mean_favourites_per_tweet,0.006100807152579245
log_max_occurence_of_same_gap,0.0051420215117215316
mean_user_mentions_per_tweet,0.0043772816699844804
log_time_between_tweets,0.004262264019514338
mean_no_hashtags,0.0040506472480343406
prop_plain_retweet,0.003679227796099271
prop_reply,0.003650291790555429
log_mean_retweets_per_tweet,0.0036214743962859532
screen_name_has_trailing_digits,0.0035594526858511257
screen_name_len,0.0034934659743883142
mean_no_media_per_tweet,0.003379445262651393
no_languages,0.003368529927893483
prop_retweet_with_comment,0.003198348416243104
log_retweet_as_tweet_rate,0.0030350657362440015
unique_mention_rate_per_tweet,0.002765155568781605
prop_original_tweet,0.0024523754036034173
has_description,0.0016818997938955786
has_location,0.0013130434678318738
name_digit_ratio,0.0011111331591610928
tweeted_on_creation_day_or_week,0.0005374949167928857
has_url,0.000524853175435442
default_profile,0.0004927640531549098
verified,0.0
default_profile_image,0.0
